Province,Gender,Age,Income,BMI,PhysicalActivity,Smoking,SelfRatedHealth,StressLevel,BMI_Category,IncomeBracket,SelfRatedHealth_num
British Columbia,Male,65,16724.0,30.0,4.1,No,Fair,7,Obese,<50k,2
British Columbia,Male,34,52438.0,27.0,4.1,No,Poor,4,Overweight,50-80k,1
Ontario,Male,69,115724.0,29.3,3.0,No,Very Good,5,Overweight,>110k,4
Quebec,Male,56,67069.0,23.6,5.0,No,Good,5,Normal,50-80k,3
Saskatchewan,Female,57,38317.0,27.3,3.5,No,Very Good,4,Overweight,<50k,4
Saskatchewan,Male,77,102705.0,30.5,4.2,No,Fair,4,Obese,80-110k,2
Quebec,Female,45,78267.0,23.9,3.5,No,Excellent,7,Normal,50-80k,5
Saskatchewan,Male,39,100099.0,27.5,2.8,No,Excellent,4,Overweight,80-110k,5
Nova Scotia,Male,80,83539.0,24.1,0.8,No,Good,3,Normal,80-110k,3
British Columbia,Male,53,87171.0,27.3,1.9,No,Excellent,5,Overweight,80-110k,5
Alberta,Male,56,85260.0,21.6,2.3,No,Fair,5,Normal,80-110k,2
Alberta,Female,36,91950.0,27.3,1.3,Yes,Very Good,1,Overweight,80-110k,4
Manitoba,Male,31,123549.0,32.5,4.4,No,Excellent,5,Obese,>110k,5
Alberta,Female,28,97420.0,29.9,5.9,No,Very Good,7,Overweight,80-110k,4
New Brunswick,Male,32,46393.0,37.1,1.7,No,Very Good,6,Obese,<50k,4
Alberta,Male,30,86933.0,26.3,4.1,No,Good,10,Overweight,80-110k,3
Saskatchewan,Male,65,100830.0,42.4,1.4,No,Very Good,8,Obese,80-110k,4
Alberta,Male,21,102054.0,26.1,2.9,Yes,Very Good,8,Overweight,80-110k,4
Quebec,Female,57,69468.0,28.5,3.5,No,Fair,10,Overweight,50-80k,2
Nova Scotia,Female,77,101299.0,27.3,4.7,No,Fair,7,Overweight,80-110k,2
British Columbia,Male,66,96555.0,29.1,2.1,No,Very Good,6,Overweight,80-110k,4
British Columbia,Male,43,129450.0,31.4,5.5,Yes,Very Good,5,Obese,>110k,4
New Brunswick,Male,21,63000.0,26.6,3.0,No,Good,4,Overweight,50-80k,3
Prince Edward Island,Female,70,67852.0,36.1,2.2,No,Excellent,5,Obese,50-80k,5
Nova Scotia,Female,18,71878.0,27.3,1.0,No,Very Good,4,Overweight,50-80k,4
Prince Edward Island,Female,60,68196.0,28.6,4.0,No,Good,6,Overweight,50-80k,3
Newfoundland and Labrador,Female,60,60200.0,22.7,5.3,No,Good,4,Normal,50-80k,3
Saskatchewan,Male,30,22746.0,16.0,4.0,No,Very Good,4,Underweight,<50k,4
New Brunswick,Female,64,78130.0,26.5,8.0,No,Very Good,6,Overweight,50-80k,4
Alberta,Male,29,85387.0,24.2,6.4,No,Good,5,Normal,80-110k,3
Saskatchewan,Male,32,78130.0,23.3,2.9,No,Good,1,Normal,50-80k,3
Manitoba,Female,69,116708.0,40.6,2.9,No,Very Good,2,Obese,>110k,4
Prince Edward Island,Female,79,78268.0,25.9,4.4,No,Very Good,3,Overweight,50-80k,4
Newfoundland and Labrador,Male,34,103821.0,19.9,1.8,No,Very Good,3,Normal,80-110k,4
Saskatchewan,Female,76,83228.0,23.7,5.8,No,Poor,6,Normal,80-110k,1
Nova Scotia,Male,75,94528.0,26.9,4.2,No,Very Good,6,Overweight,80-110k,4
British Columbia,Female,66,83585.0,29.9,4.0,Yes,Good,7,Overweight,80-110k,3
Newfoundland and Labrador,Male,26,105376.0,30.0,4.9,Yes,Poor,7,Obese,80-110k,1
Manitoba,Female,36,79119.0,30.6,6.9,No,Very Good,7,Obese,50-80k,4
Manitoba,Male,60,87922.0,24.0,3.8,No,Very Good,6,Normal,80-110k,4
New Brunswick,Male,80,85327.0,28.9,3.3,No,Good,6,Overweight,80-110k,3
Nova Scotia,Female,69,72234.0,22.8,6.5,Yes,Very Good,8,Normal,50-80k,4
Ontario,Male,44,86100.0,24.1,3.5,No,Good,7,Normal,80-110k,3
British Columbia,Female,32,122688.0,22.6,2.9,No,Fair,6,Normal,>110k,2
Quebec,Female,78,72592.0,21.3,3.5,Yes,Good,8,Normal,50-80k,3
New Brunswick,Female,35,86389.0,32.5,3.9,No,Good,1,Obese,80-110k,3
Ontario,Female,39,103156.0,30.6,4.2,No,Very Good,5,Obese,80-110k,4
British Columbia,Female,78,100805.0,32.1,0.8,Yes,Very Good,5,Obese,80-110k,4
Manitoba,Female,53,78234.0,27.4,0.4,No,Very Good,8,Overweight,50-80k,4
Nova Scotia,Male,34,30332.0,31.1,1.7,No,Fair,8,Obese,<50k,2
Manitoba,Male,18,88334.0,18.4,1.6,No,Good,2,Underweight,80-110k,3
Newfoundland and Labrador,Female,45,33611.0,31.5,2.2,No,Fair,8,Obese,<50k,2
Prince Edward Island,Male,80,107399.0,28.1,4.8,No,Very Good,3,Overweight,80-110k,4
Quebec,Male,45,81389.0,30.3,3.2,No,Fair,3,Obese,80-110k,2
Prince Edward Island,Female,62,97993.0,29.1,3.9,Yes,Good,5,Overweight,80-110k,3
Nova Scotia,Male,33,59958.0,22.3,1.1,No,Very Good,5,Normal,50-80k,4
Nova Scotia,Female,66,180000.0,19.7,2.6,No,Very Good,2,Normal,>110k,4
Ontario,Male,66,83215.0,23.6,4.7,No,Good,7,Normal,80-110k,3
Nova Scotia,Male,56,77328.0,27.3,4.7,No,Good,7,Overweight,50-80k,3
New Brunswick,Male,66,68169.0,27.3,2.1,Yes,Very Good,7,Overweight,50-80k,4
Manitoba,Female,54,79693.0,20.4,3.8,No,Good,4,Normal,50-80k,3
Ontario,Female,41,133349.0,22.3,7.9,No,Fair,5,Normal,>110k,2
Manitoba,Female,64,94691.0,27.3,3.5,No,Excellent,5,Overweight,80-110k,5
Prince Edward Island,Male,70,98990.0,25.4,2.1,No,Good,9,Overweight,80-110k,3
New Brunswick,Female,70,94879.0,20.4,3.2,No,Good,1,Normal,80-110k,3
Quebec,Male,31,107589.0,20.1,3.7,Yes,Fair,3,Normal,80-110k,2
Prince Edward Island,Female,60,74199.0,23.1,3.2,Yes,Good,5,Normal,50-80k,3
Prince Edward Island,Female,18,36905.0,27.6,3.4,No,Good,3,Overweight,<50k,3
Quebec,Male,54,74228.0,21.3,0.6,No,Good,5,Normal,50-80k,3
Newfoundland and Labrador,Male,53,94235.0,26.6,1.6,No,Good,5,Overweight,80-110k,3
Saskatchewan,Female,40,58604.0,32.5,3.2,No,Good,4,Obese,50-80k,3
Manitoba,Male,80,74473.0,20.7,3.2,No,Excellent,5,Normal,50-80k,5
Saskatchewan,Female,73,64165.0,26.2,2.4,Yes,Excellent,5,Overweight,50-80k,5
New Brunswick,Female,20,108041.0,27.3,3.5,No,Fair,5,Overweight,80-110k,2
Prince Edward Island,Male,31,92989.0,25.1,3.6,No,Fair,4,Overweight,80-110k,2
New Brunswick,Male,31,91031.0,24.3,5.3,No,Very Good,5,Normal,80-110k,4
Prince Edward Island,Female,74,90432.0,27.3,3.3,No,Excellent,5,Overweight,80-110k,5
Prince Edward Island,Female,50,77255.0,27.3,4.3,No,Excellent,2,Overweight,50-80k,5
Ontario,Male,63,81951.0,32.7,3.5,No,Poor,6,Obese,80-110k,1
British Columbia,Male,69,54296.0,29.3,4.6,Yes,Good,4,Overweight,50-80k,3
New Brunswick,Male,66,34271.0,25.5,4.3,Yes,Poor,8,Overweight,<50k,1
Manitoba,Female,23,81002.0,29.6,5.2,No,Very Good,6,Overweight,80-110k,4
Ontario,Male,26,84480.0,28.8,4.9,No,Very Good,8,Overweight,80-110k,4
Ontario,Female,42,102185.0,32.3,4.7,No,Good,3,Obese,80-110k,3
Manitoba,Male,39,109427.0,24.5,3.3,No,Good,4,Normal,80-110k,3
Nova Scotia,Female,65,109400.0,27.4,4.0,No,Good,3,Overweight,80-110k,3
Quebec,Female,27,58040.0,26.9,5.6,No,Very Good,5,Overweight,50-80k,4
Quebec,Male,41,70955.0,30.7,2.2,No,Poor,8,Obese,50-80k,1
Quebec,Female,32,78130.0,27.3,2.2,No,Very Good,8,Overweight,50-80k,4
Manitoba,Female,29,128638.0,32.3,3.9,No,Very Good,3,Obese,>110k,4
Ontario,Female,28,107602.0,29.5,4.3,No,Very Good,4,Overweight,80-110k,4
Manitoba,Male,30,100388.0,20.6,1.9,No,Good,5,Normal,80-110k,3
Saskatchewan,Female,53,70244.0,33.2,3.4,No,Very Good,6,Obese,50-80k,4
Saskatchewan,Female,43,60336.0,38.4,3.5,No,Very Good,2,Obese,50-80k,4
Nova Scotia,Female,45,93778.0,32.2,0.0,No,Fair,2,Obese,80-110k,2
Manitoba,Female,48,78130.0,34.3,3.1,No,Fair,6,Obese,50-80k,2
New Brunswick,Female,64,73231.0,27.6,3.2,No,Very Good,1,Overweight,50-80k,4
New Brunswick,Male,72,75704.0,18.9,3.2,Yes,Good,4,Normal,50-80k,3
Prince Edward Island,Male,51,109858.0,18.0,6.3,No,Fair,6,Underweight,80-110k,2
New Brunswick,Female,58,70906.0,28.5,1.1,No,Fair,6,Overweight,50-80k,2
Manitoba,Female,64,29215.0,24.2,1.9,No,Fair,5,Normal,<50k,2
Saskatchewan,Female,61,88089.0,22.6,0.0,No,Good,4,Normal,80-110k,3
British Columbia,Female,26,78130.0,26.9,3.5,No,Very Good,7,Overweight,50-80k,4
Manitoba,Female,79,78853.0,30.3,2.7,No,Fair,6,Obese,50-80k,2
Quebec,Female,28,76266.0,19.9,3.5,No,Very Good,4,Normal,50-80k,4
Prince Edward Island,Female,43,78130.0,25.0,5.7,Yes,Good,5,Overweight,50-80k,3
Newfoundland and Labrador,Female,59,93807.0,34.7,5.2,Yes,Good,6,Obese,80-110k,3
Quebec,Female,43,47343.0,21.8,3.7,No,Fair,9,Normal,<50k,2
New Brunswick,Male,33,67660.0,31.5,2.8,Yes,Very Good,7,Obese,50-80k,4
Quebec,Male,76,91681.0,24.8,5.6,No,Excellent,8,Normal,80-110k,5
New Brunswick,Male,22,65718.0,29.9,3.5,No,Good,4,Overweight,50-80k,3
Ontario,Male,33,45824.0,32.7,1.9,No,Poor,4,Obese,<50k,1
Saskatchewan,Male,80,91371.0,30.9,0.1,No,Good,5,Obese,80-110k,3
Nova Scotia,Male,63,100462.0,31.7,2.6,No,Fair,5,Obese,80-110k,2
New Brunswick,Male,23,77100.0,21.4,5.0,No,Very Good,3,Normal,50-80k,4
Saskatchewan,Male,65,38783.0,32.8,8.1,No,Fair,5,Obese,<50k,2
Prince Edward Island,Male,79,92119.0,22.9,3.6,No,Excellent,7,Normal,80-110k,5
New Brunswick,Female,24,44802.0,28.5,2.0,Yes,Very Good,5,Overweight,<50k,4
British Columbia,Female,44,84176.0,28.5,1.1,No,Good,7,Overweight,80-110k,3
Nova Scotia,Male,47,60251.0,29.6,4.6,No,Very Good,6,Overweight,50-80k,4
New Brunswick,Male,26,54803.0,28.9,0.0,No,Poor,7,Overweight,50-80k,1
Alberta,Female,30,69162.0,23.0,4.6,No,Very Good,5,Normal,50-80k,4
New Brunswick,Male,28,74334.0,20.5,5.1,No,Fair,5,Normal,50-80k,2
Newfoundland and Labrador,Male,29,78130.0,31.6,4.4,Yes,Very Good,5,Obese,50-80k,4
Newfoundland and Labrador,Male,43,89774.0,28.1,3.5,Yes,Good,7,Overweight,80-110k,3
New Brunswick,Female,47,69079.0,32.9,4.6,No,Poor,4,Obese,50-80k,1
Nova Scotia,Male,32,97604.0,27.0,3.8,No,Very Good,1,Overweight,80-110k,4
British Columbia,Female,36,83623.0,20.2,1.9,No,Poor,3,Normal,80-110k,1
New Brunswick,Male,30,64049.0,32.0,7.2,No,Fair,5,Obese,50-80k,2
Alberta,Female,68,60681.0,25.3,2.8,Yes,Very Good,5,Overweight,50-80k,4
Manitoba,Female,31,45050.0,28.9,5.1,Yes,Good,9,Overweight,<50k,3
Alberta,Male,75,83815.0,24.0,0.0,No,Excellent,6,Normal,80-110k,5
Alberta,Female,51,70908.0,35.4,6.1,No,Very Good,5,Obese,50-80k,4
Quebec,Female,68,30556.0,22.8,6.4,No,Very Good,5,Normal,<50k,4
Prince Edward Island,Female,58,78130.0,25.5,3.6,No,Good,8,Overweight,50-80k,3
Quebec,Female,34,78130.0,27.7,4.6,Yes,Fair,4,Overweight,50-80k,2
Ontario,Female,55,109514.0,27.3,4.6,Yes,Excellent,5,Overweight,80-110k,5
Prince Edward Island,Male,35,43944.0,28.9,3.5,Yes,Fair,3,Overweight,<50k,2
Manitoba,Male,25,49173.0,35.3,4.6,No,Good,8,Obese,<50k,3
Saskatchewan,Female,34,100199.0,24.7,1.9,Yes,Good,6,Normal,80-110k,3
New Brunswick,Male,35,105135.0,29.2,2.3,Yes,Good,4,Overweight,80-110k,3
Alberta,Male,26,63100.0,13.5,3.5,No,Very Good,5,Underweight,50-80k,4
Quebec,Male,19,65358.0,27.0,5.4,No,Very Good,6,Overweight,50-80k,4
New Brunswick,Male,77,90325.0,25.6,2.1,No,Very Good,5,Overweight,80-110k,4
Quebec,Female,50,31458.0,23.1,2.0,No,Excellent,4,Normal,<50k,5
Manitoba,Female,43,40776.0,32.6,2.2,No,Good,4,Obese,<50k,3
Prince Edward Island,Female,76,72385.0,25.6,5.0,No,Good,6,Overweight,50-80k,3
Prince Edward Island,Male,32,108998.0,26.3,1.5,No,Poor,4,Overweight,80-110k,1
Alberta,Male,43,69285.0,25.3,4.2,No,Very Good,4,Overweight,50-80k,4
New Brunswick,Female,71,80019.0,17.6,5.0,No,Good,2,Underweight,80-110k,3
Nova Scotia,Female,57,100676.0,21.5,3.3,No,Good,5,Normal,80-110k,3
Saskatchewan,Male,43,120138.0,32.0,5.5,No,Fair,5,Obese,>110k,2
Quebec,Female,34,66463.0,16.7,2.9,No,Very Good,5,Underweight,50-80k,4
Alberta,Male,20,77663.0,23.4,3.1,Yes,Very Good,6,Normal,50-80k,4
Nova Scotia,Male,23,114441.0,25.2,1.5,No,Excellent,7,Overweight,>110k,5
Prince Edward Island,Male,28,47556.0,35.9,5.5,No,Poor,7,Obese,<50k,1
Ontario,Male,67,78130.0,31.0,2.0,Yes,Excellent,6,Obese,50-80k,5
New Brunswick,Female,58,57634.0,24.4,4.2,No,Fair,5,Normal,50-80k,2
Newfoundland and Labrador,Female,45,80049.0,33.7,3.4,No,Good,4,Obese,80-110k,3
Prince Edward Island,Male,67,78130.0,27.3,1.4,Yes,Fair,3,Overweight,50-80k,2
Saskatchewan,Male,28,58840.0,32.2,2.3,Yes,Good,4,Obese,50-80k,3
Quebec,Female,31,58338.0,20.4,6.3,No,Good,5,Normal,50-80k,3
British Columbia,Female,42,83528.0,32.6,3.9,No,Fair,4,Obese,80-110k,2
Newfoundland and Labrador,Male,75,97911.0,25.2,1.5,No,Good,5,Overweight,80-110k,3
Newfoundland and Labrador,Male,56,75405.0,22.1,4.1,Yes,Very Good,3,Normal,50-80k,4
Nova Scotia,Male,71,79402.0,26.1,3.2,No,Very Good,2,Overweight,50-80k,4
Quebec,Female,33,89423.0,28.6,10.4,No,Very Good,7,Overweight,80-110k,4
Quebec,Female,71,58568.0,24.7,4.1,No,Very Good,4,Normal,50-80k,4
Saskatchewan,Female,22,92794.0,30.0,2.7,No,Fair,3,Obese,80-110k,2
Manitoba,Female,32,94387.0,24.3,6.3,No,Very Good,3,Normal,80-110k,4
Ontario,Female,50,130073.0,30.3,0.0,No,Poor,6,Obese,>110k,1
Nova Scotia,Male,21,70478.0,29.4,3.7,No,Good,8,Overweight,50-80k,3
Manitoba,Female,72,68838.0,26.9,7.5,No,Poor,4,Overweight,50-80k,1
Ontario,Female,72,93379.0,25.0,3.3,No,Very Good,5,Overweight,80-110k,4
Ontario,Male,52,94382.0,28.0,0.0,Yes,Good,7,Overweight,80-110k,3
Saskatchewan,Female,37,67298.0,30.0,2.7,No,Very Good,1,Obese,50-80k,4
New Brunswick,Male,24,69937.0,37.5,6.4,No,Good,5,Obese,50-80k,3
Newfoundland and Labrador,Male,56,88823.0,31.9,4.3,No,Good,10,Obese,80-110k,3
Saskatchewan,Male,51,61448.0,32.1,1.8,Yes,Good,1,Obese,50-80k,3
British Columbia,Male,65,69789.0,42.6,2.1,No,Poor,5,Obese,50-80k,1
Prince Edward Island,Male,55,79792.0,29.8,2.4,Yes,Good,4,Overweight,50-80k,3
Saskatchewan,Male,26,97919.0,29.6,4.2,No,Very Good,5,Overweight,80-110k,4
Alberta,Male,25,65908.0,30.7,6.2,Yes,Good,4,Obese,50-80k,3
Saskatchewan,Male,67,78130.0,22.2,5.6,No,Poor,7,Normal,50-80k,1
Ontario,Male,28,39668.0,25.0,4.4,No,Very Good,5,Overweight,<50k,4
Alberta,Female,77,52812.0,24.7,0.8,Yes,Good,3,Normal,50-80k,3
Manitoba,Female,24,51737.0,30.4,0.8,Yes,Poor,5,Obese,50-80k,1
Prince Edward Island,Female,63,74908.0,26.3,4.6,No,Fair,6,Overweight,50-80k,2
New Brunswick,Male,79,54222.0,27.9,0.8,No,Good,3,Overweight,50-80k,3
New Brunswick,Male,45,63945.0,32.6,3.0,Yes,Good,2,Obese,50-80k,3
Manitoba,Male,21,62518.0,31.5,4.1,Yes,Very Good,9,Obese,50-80k,4
Quebec,Male,73,69190.0,26.4,1.2,Yes,Fair,4,Overweight,50-80k,2
Alberta,Male,29,104450.0,23.9,1.5,No,Very Good,5,Normal,80-110k,4
Prince Edward Island,Male,51,91239.0,32.9,3.3,No,Good,4,Obese,80-110k,3
Ontario,Male,80,78323.0,31.1,4.5,Yes,Very Good,6,Obese,50-80k,4
Newfoundland and Labrador,Male,64,68779.0,19.2,5.6,No,Very Good,9,Normal,50-80k,4
Nova Scotia,Female,20,69335.0,25.6,4.7,No,Good,6,Overweight,50-80k,3
British Columbia,Male,69,84555.0,28.0,3.6,No,Poor,2,Overweight,80-110k,1
New Brunswick,Male,28,89683.0,31.1,2.0,No,Good,2,Obese,80-110k,3
Newfoundland and Labrador,Male,65,59848.0,31.8,1.4,No,Excellent,4,Obese,50-80k,5
Ontario,Female,57,78730.0,28.6,2.5,No,Excellent,5,Overweight,50-80k,5
Quebec,Female,36,37368.0,30.1,4.3,Yes,Fair,2,Obese,<50k,2
Nova Scotia,Male,44,82234.0,27.5,4.2,No,Very Good,7,Overweight,80-110k,4
Prince Edward Island,Female,25,78130.0,23.8,0.0,No,Good,5,Normal,50-80k,3
Ontario,Female,80,72399.0,25.9,1.9,No,Fair,5,Overweight,50-80k,2
Nova Scotia,Male,33,114331.0,27.3,5.9,No,Very Good,9,Overweight,>110k,4
Quebec,Male,37,60375.0,27.0,3.7,No,Good,5,Overweight,50-80k,3
Nova Scotia,Male,49,82349.0,17.8,0.7,Yes,Good,6,Underweight,80-110k,3
Nova Scotia,Female,60,77284.0,25.2,8.2,No,Very Good,3,Overweight,50-80k,4
Ontario,Male,49,75994.0,27.3,3.4,No,Good,7,Overweight,50-80k,3
Nova Scotia,Male,49,75714.0,25.8,4.3,No,Very Good,4,Overweight,50-80k,4
Newfoundland and Labrador,Male,54,80142.0,26.0,4.3,No,Good,3,Overweight,80-110k,3
Newfoundland and Labrador,Male,72,94959.0,29.6,2.8,Yes,Poor,5,Overweight,80-110k,1
Ontario,Male,42,78130.0,21.8,2.0,Yes,Good,4,Normal,50-80k,3
British Columbia,Male,70,77955.0,19.1,7.7,No,Excellent,5,Normal,50-80k,5
British Columbia,Female,67,94306.0,25.5,5.5,No,Good,7,Overweight,80-110k,3
Saskatchewan,Female,78,63965.0,31.0,5.1,No,Fair,4,Obese,50-80k,2
Quebec,Male,75,93319.0,35.6,4.7,No,Very Good,9,Obese,80-110k,4
Newfoundland and Labrador,Female,68,62760.0,27.3,1.5,No,Excellent,2,Overweight,50-80k,5
New Brunswick,Male,33,99813.0,19.9,6.1,Yes,Excellent,9,Normal,80-110k,5
Newfoundland and Labrador,Female,66,122213.0,26.0,1.8,No,Very Good,3,Overweight,>110k,4
Quebec,Female,64,75558.0,28.5,4.1,Yes,Good,5,Overweight,50-80k,3
Ontario,Female,36,34149.0,28.1,0.2,No,Very Good,4,Overweight,<50k,4
Prince Edward Island,Male,60,67039.0,29.9,0.0,No,Very Good,4,Overweight,50-80k,4
British Columbia,Female,33,102638.0,22.6,4.1,No,Excellent,7,Normal,80-110k,5
Nova Scotia,Male,50,89062.0,27.5,1.9,No,Very Good,8,Overweight,80-110k,4
Prince Edward Island,Female,68,82978.0,29.3,0.0,No,Good,8,Overweight,80-110k,3
Ontario,Female,29,98173.0,31.3,4.6,Yes,Fair,4,Obese,80-110k,2
Ontario,Female,39,87689.0,23.2,7.7,No,Good,6,Normal,80-110k,3
Ontario,Female,68,102355.0,25.5,6.3,No,Fair,4,Overweight,80-110k,2
Quebec,Female,46,78130.0,13.7,3.0,Yes,Poor,3,Underweight,50-80k,1
Ontario,Female,78,108434.0,24.1,3.5,Yes,Good,3,Normal,80-110k,3
Newfoundland and Labrador,Male,18,85176.0,24.6,5.3,No,Very Good,4,Normal,80-110k,4
Nova Scotia,Male,63,96105.0,27.3,5.7,No,Excellent,6,Overweight,80-110k,5
